"","X1","Country","ISO2","ISO3","UN","Total_2008","Total_2009","Total_2010","Total_2011","Total_2012","Total_2013","Total_2014","Total_2015","Total_2016","Total_2017","Total_2018","Rank_2008","Rank_2009","Rank_2010","Rank_2011","Rank_2012","Rank_2013","Rank_2014","Rank_2015","Rank_2016","Rank_2017","Rank_2018","C1: Security Apparatus_2008","C1: Security Apparatus_2009","C1: Security Apparatus_2010","C1: Security Apparatus_2011","C1: Security Apparatus_2012","C1: Security Apparatus_2013","C1: Security Apparatus_2014","C1: Security Apparatus_2015","C1: Security Apparatus_2016","C1: Security Apparatus_2017","C1: Security Apparatus_2018","C2: Factionalized Elites_2008","C2: Factionalized Elites_2009","C2: Factionalized Elites_2010","C2: Factionalized Elites_2011","C2: Factionalized Elites_2012","C2: Factionalized Elites_2013","C2: Factionalized Elites_2014","C2: Factionalized Elites_2015","C2: Factionalized Elites_2016","C2: Factionalized Elites_2017","C2: Factionalized Elites_2018","C3: Group Grievance_2008","C3: Group Grievance_2009","C3: Group Grievance_2010","C3: Group Grievance_2011","C3: Group Grievance_2012","C3: Group Grievance_2013","C3: Group Grievance_2014","C3: Group Grievance_2015","C3: Group Grievance_2016","C3: Group Grievance_2017","C3: Group Grievance_2018","E1: Economy_2008","E1: Economy_2009","E1: Economy_2010","E1: Economy_2011","E1: Economy_2012","E1: Economy_2013","E1: Economy_2014","E1: Economy_2015","E1: Economy_2016","E1: Economy_2017","E1: Economy_2018","E2: Economic Inequality_2008","E2: Economic Inequality_2009","E2: Economic Inequality_2010","E2: Economic Inequality_2011","E2: Economic Inequality_2012","E2: Economic Inequality_2013","E2: Economic Inequality_2014","E2: Economic Inequality_2015","E2: Economic Inequality_2016","E2: Economic Inequality_2017","E2: Economic Inequality_2018","E3: Human Flight and Brain Drain_2008","E3: Human Flight and Brain Drain_2009","E3: Human Flight and Brain Drain_2010","E3: Human Flight and Brain Drain_2011","E3: Human Flight and Brain Drain_2012","E3: Human Flight and Brain Drain_2013","E3: Human Flight and Brain Drain_2014","E3: Human Flight and Brain Drain_2015","E3: Human Flight and Brain Drain_2016","E3: Human Flight and Brain Drain_2017","E3: Human Flight and Brain Drain_2018","P1: State Legitimacy_2008","P1: State Legitimacy_2009","P1: State Legitimacy_2010","P1: State Legitimacy_2011","P1: State Legitimacy_2012","P1: State Legitimacy_2013","P1: State Legitimacy_2014","P1: State Legitimacy_2015","P1: State Legitimacy_2016","P1: State Legitimacy_2017","P1: State Legitimacy_2018","P2: Public Services_2008","P2: Public Services_2009","P2: Public Services_2010","P2: Public Services_2011","P2: Public Services_2012","P2: Public Services_2013","P2: Public Services_2014","P2: Public Services_2015","P2: Public Services_2016","P2: Public Services_2017","P2: Public Services_2018","P3: Human Rights_2008","P3: Human Rights_2009","P3: Human Rights_2010","P3: Human Rights_2011","P3: Human Rights_2012","P3: Human Rights_2013","P3: Human Rights_2014","P3: Human Rights_2015","P3: Human Rights_2016","P3: Human Rights_2017","P3: Human Rights_2018","S1: Demographic Pressures_2008","S1: Demographic Pressures_2009","S1: Demographic Pressures_2010","S1: Demographic Pressures_2011","S1: Demographic Pressures_2012","S1: Demographic Pressures_2013","S1: Demographic Pressures_2014","S1: Demographic Pressures_2015","S1: Demographic Pressures_2016","S1: Demographic Pressures_2017","S1: Demographic Pressures_2018","S2: Refugees and IDPs_2008","S2: Refugees and IDPs_2009","S2: Refugees and IDPs_2010","S2: Refugees and IDPs_2011","S2: Refugees and IDPs_2012","S2: Refugees and IDPs_2013","S2: Refugees and IDPs_2014","S2: Refugees and IDPs_2015","S2: Refugees and IDPs_2016","S2: Refugees and IDPs_2017","S2: Refugees and IDPs_2018","X1: External Intervention_2008","X1: External Intervention_2009","X1: External Intervention_2010","X1: External Intervention_2011","X1: External Intervention_2012","X1: External Intervention_2013","X1: External Intervention_2014","X1: External Intervention_2015","X1: External Intervention_2016","X1: External Intervention_2017","X1: External Intervention_2018"
"1662",1662,"Turkey","TR","TUR","792",NA,NA,NA,NA,NA,NA,NA,NA,NA,80.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.4,NA
"1663",1663,"Kyrgyz Republic","KG","KGZ","417",NA,NA,NA,NA,NA,NA,NA,NA,NA,80.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.4,NA
"1664",1664,"Tanzania","TZ","TZA","834",NA,NA,NA,NA,NA,NA,NA,NA,NA,80.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.2,NA
"1665",1665,"Russia","RU","RUS","643",NA,NA,NA,NA,NA,NA,NA,NA,NA,79.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.7,NA
"1666",1666,"Honduras","HN","HND","340",NA,NA,NA,NA,NA,NA,NA,NA,NA,79.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.5,NA
"1667",1667,"Colombia","CO","COL","170",NA,NA,NA,NA,NA,NA,NA,NA,NA,78.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA
"1668",1668,"Israel and West Bank","IL","ISR","376",NA,NA,NA,NA,NA,NA,NA,NA,NA,78.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.5,NA
"1669",1669,"Jordan","JO","JOR","400",NA,NA,NA,NA,NA,NA,NA,NA,NA,78.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.6,NA
"1670",1670,"India","IN","IND","356",NA,NA,NA,NA,NA,NA,NA,NA,NA,77.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.4,NA
"1671",1671,"Benin","BJ","BEN","204",NA,NA,NA,NA,NA,NA,NA,NA,NA,77.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.6,NA
"1672",1672,"Nicaragua","NI","NIC","558",NA,NA,NA,NA,NA,NA,NA,NA,NA,77.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.3,NA
"1673",1673,"Ecuador","EC","ECU","218",NA,NA,NA,NA,NA,NA,NA,NA,NA,77.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.3,NA
"1674",1674,"Fiji","FJ","FJI","242",NA,NA,NA,NA,NA,NA,NA,NA,NA,76.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.2,NA
"1675",1675,"Algeria","DZ","DZA","012",NA,NA,NA,NA,NA,NA,NA,NA,NA,76.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.9,NA
"1676",1676,"Bolivia","BO","BOL","068",NA,NA,NA,NA,NA,NA,NA,NA,NA,76.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.8,NA
"1677",1677,"Georgia","GE","GEO","268",NA,NA,NA,NA,NA,NA,NA,NA,NA,76.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.4,NA
"1678",1678,"Micronesia","FM","FSM","583",NA,NA,NA,NA,NA,NA,NA,NA,NA,76.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.5,NA
"1679",1679,"Azerbaijan","AZ","AZE","031",NA,NA,NA,NA,NA,NA,NA,NA,NA,76.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.4,NA
"1680",1680,"Thailand","TH","THA","764",NA,NA,NA,NA,NA,NA,NA,NA,NA,76.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.8,NA
"1681",1681,"Bhutan","BT","BTN","064",NA,NA,NA,NA,NA,NA,NA,NA,NA,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA
"1682",1682,"Morocco","MA","MAR","504",NA,NA,NA,NA,NA,NA,NA,NA,NA,74.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA
"1683",1683,"China","CN","CHN","156",NA,NA,NA,NA,NA,NA,NA,NA,NA,74.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.7,NA
"1684",1684,"Maldives","MV","MDV","462",NA,NA,NA,NA,NA,NA,NA,NA,NA,74.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5,NA
"1685",1685,"Turkmenistan","TM","TKM","795",NA,NA,NA,NA,NA,NA,NA,NA,NA,74.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.1,NA
